是否必填			1	1	1	1	1	1	1	1	1	1	1	1	1	1
61	电能表	PZ80-E4 输入电压AC380V 1A AC80-270V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC380V
"	1A	"AC80-270V
"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
62	电能表	PZ80-E4 输入电压AC380V 1A DC100-350V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC380V
"	1A	"
DC100-350V

"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
63	电能表	PZ80-E4 输入电压AC380V 5A AC80-270V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC380V
"	5A	"AC80-270V
"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
64	电能表	PZ80-E4 输入电压AC380V 5A DC100-350V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC380V
"	5A	"
DC100-350V

"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
65	电能表	PZ80-E3(4)/H 输入电压AC220V 1A AC80-270V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LED显示	"AC220V
"	1A	"AC80-270V
"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
66	电能表	PZ80-E3(4)/H 输入电压AC220V 1A DC100-350V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LED显示	"AC220V
"	1A	"
DC100-350V

"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
67	电能表	PZ80-E3(4)/H 输入电压AC220V 5A AC80-270V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LED显示	"AC220V
"	5A	"AC80-270V
"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
68	电能表	PZ80-E3(4)/H 输入电压AC220V 5A DC100-350V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LED显示	"AC220V
"	5A	"
DC100-350V

"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
69	电能表	PZ80-E3(4)/H 输入电压AC380V 1A AC80-270V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LED显示	"AC380V
"	1A	"AC80-270V
"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
70	电能表	PZ80-E3(4)/H 输入电压AC380V 1A DC100-350V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LED显示	"AC380V
"	1A	"
DC100-350V

"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
71	电能表	PZ80-E3(4)/H 输入电压AC380V 5A AC80-270V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LED显示	"AC380V
"	5A	"AC80-270V
"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
72	电能表	PZ80-E3(4)/H 输入电压AC380V 5A DC100-350V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LED显示	"AC380V
"	5A	"
DC100-350V

"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
73	电能表	PZ80L-E3 输入电压AC220V 1A AC80-270V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC220V
"	1A	"AC80-270V
"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
