是否必填			1	1	1	1	1	1	1	1	1	1	1	1	1
55	多功能表	PZ80-AV3 输入电压AC380V 5A AC80-270V+M	安科瑞	PZ系列电压表	80×80mm	"76×76
"	三相交流电流	LED显示	"AC380V
"	5A	"AC80-270V
"	不选配	一路4-20mA模拟量输出	不选配	不选配
56	多功能表	PZ80-AV3 输入电压AC380V 5A DC100-350V+M	安科瑞	PZ系列电压表	80×80mm	"76×76
"	三相交流电流	LED显示	"AC380V
"	5A	"
DC100-350V

"	不选配	一路4-20mA模拟量输出	不选配	不选配
57	多功能表	PZ80L-AV3 输入电压AC220V 1A AC80-270V+M	安科瑞	PZ系列电压表	80×80mm	"76×76
"	三相交流电流	LCD显示	"AC220V
"	1A	"AC80-270V
"	不选配	一路4-20mA模拟量输出	不选配	不选配
58	多功能表	PZ80L-AV3 输入电压AC220V 1A DC100-350V+M	安科瑞	PZ系列电压表	80×80mm	"76×76
"	三相交流电流	LCD显示	"AC220V
"	1A	"
DC100-350V

"	不选配	一路4-20mA模拟量输出	不选配	不选配
59	多功能表	PZ80L-AV3 输入电压AC220V 5A AC80-270V+M	安科瑞	PZ系列电压表	80×80mm	"76×76
"	三相交流电流	LCD显示	"AC220V
"	5A	"AC80-270V
"	不选配	一路4-20mA模拟量输出	不选配	不选配
60	多功能表	PZ80L-AV3 输入电压AC220V 5A DC100-350V+M	安科瑞	PZ系列电压表	80×80mm	"76×76
"	三相交流电流	LCD显示	"AC220V
"	5A	"
DC100-350V

"	不选配	一路4-20mA模拟量输出	不选配	不选配
61	多功能表	PZ80L-AV3 输入电压AC380V 1A AC80-270V+M	安科瑞	PZ系列电压表	80×80mm	"76×76
"	三相交流电流	LCD显示	"AC380V
"	1A	"AC80-270V
"	不选配	一路4-20mA模拟量输出	不选配	不选配
62	多功能表	PZ80L-AV3 输入电压AC380V 1A DC100-350V+M	安科瑞	PZ系列电压表	80×80mm	"76×76
"	三相交流电流	LCD显示	"AC380V
"	1A	"
DC100-350V

"	不选配	一路4-20mA模拟量输出	不选配	不选配
63	多功能表	PZ80L-AV3 输入电压AC380V 5A AC80-270V+M	安科瑞	PZ系列电压表	80×80mm	"76×76
"	三相交流电流	LCD显示	"AC380V
"	5A	"AC80-270V
"	不选配	一路4-20mA模拟量输出	不选配	不选配
64	多功能表	PZ80L-AV3 输入电压AC380V 5A DC100-350V+M	安科瑞	PZ系列电压表	80×80mm	"76×76
"	三相交流电流	LCD显示	"AC380V
"	5A	"
DC100-350V

"	不选配	一路4-20mA模拟量输出	不选配	不选配
65	多功能表	ZN4735  IN:4-20MA OUT:0-50HZ	北京书漫科技	数显频率表	120×50	无	无	LED显示	"AC220V
"	4-20MA	"AC220V
"	不选配	不选配	不选配	不选配
66	多功能表	PZ80-F/M	安科瑞	数显频率表（反潜表）	80×80mm	"76×76
"	无	LCD显示	"AC220V
"	4-20MA	"AC220V
"	不选配	不选配	不选配	不选配
67	多功能表	6C2 0-20mA/0-60HZ	正泰	指针频率表	80×80mm	"76×76
"	无	指针显示	DC24V	0-20MA	DC24V	不选配	不选配	不选配	不选配
68	多功能表	6C2 4-20mA/0-50HZ	正泰	指针频率表	80×80mm	"76×76
"	无	指针显示	DC24V	4-20MA	DC24V	不选配	不选配	不选配	不选配
