是否必填			1	1	1	1	1	1	1	1	1	1	1	1	0	0
序号	分类名称	供应商型号规格	品牌	产品系列	过程连接	探头	导波件长度	电源	信号输出	电缆入口	显示及操作	密封	防爆等级	精度	防护等级	运行温度和压力
141	导波雷达物位传感器	3301HA2S1V5AM1160SAE1M1C1	艾默生	3301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	带重锤的软单缆,SS316L	11600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	ATEX隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
142	导波雷达物位传感器	3301HA2S1V5AM1360SAE1M1C1	艾默生	3301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	带重锤的软单缆,SS316L	13600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	ATEX隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
143	导波雷达物位传感器	3301HA2S1V5AM1560SAE1M1C1	艾默生	3301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	带重锤的软单缆,SS316L	15600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	ATEX隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
144	导波雷达物位传感器	3301HA2S1V5AM1760SAE1M1C1	艾默生	3301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	带重锤的软单缆,SS316L	17600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	ATEX隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
145	导波雷达物位传感器	3301HA2S1V5AM1960SAE1M1C1	艾默生	3301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	带重锤的软单缆,SS316L	19600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	ATEX隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
146	导波雷达物位传感器	3301HA2S1V5AM2160SAE1M1C1	艾默生	3301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	带重锤的软单缆,SS316L	21600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	ATEX隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
147	导波雷达物位传感器	3301HA2S1V5AM2360SAE1M1C1	艾默生	3301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	带重锤的软单缆,SS316L	23600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	ATEX隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
148	导波雷达物位传感器	3301HA2S1V5AM0400RAE1M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	4000mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	ATEX隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
149	导波雷达物位传感器	3301HA2S1V5AM0450RAE1M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	4500mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	ATEX隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
150	导波雷达物位传感器	3301HA2S1V5AM0500RAE1M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	5000mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	ATEX隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
151	导波雷达物位传感器	3301HA2S1V5AM0550RAE1M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	5500mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	ATEX隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
152	导波雷达物位传感器	3301HA2S1V5AM0600RAE1M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	6000mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	ATEX隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
153	导波雷达物位传感器	3301HA2S1V5AM0650RAE1M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	6500mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	ATEX隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
154	导波雷达物位传感器	3301HA2S1V5AM0700RAE1M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	7000mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	ATEX隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
155	导波雷达物位传感器	3301HA2S1V5AM0900RAE1M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	9000mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	ATEX隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
156	导波雷达物位传感器	3301HA2S1V5AM1160RAE1M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	11600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	ATEX隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
157	导波雷达物位传感器	3301HA2S1V5AM1360RAE1M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	13600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	ATEX隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
158	导波雷达物位传感器	3301HA2S1V5AM1560RAE1M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	15600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	ATEX隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
159	导波雷达物位传感器	3301HA2S1V5AM1760RAE1M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	17600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	ATEX隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
160	导波雷达物位传感器	3301HA2S1V5AM1960RAE1M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	19600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	ATEX隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
161	导波雷达物位传感器	3301HA2S1V5AM2160RAE1M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	21600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	ATEX隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
162	导波雷达物位传感器	3301HA2S1V5AM2360RAE1M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	23600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	ATEX隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
163	导波雷达物位传感器	3301HA2S1V5AM0400SAE3M1C1	艾默生	3301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	带重锤的软单缆,SS316L	4000mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
164	导波雷达物位传感器	3301HA2S1V5AM0450SAE3M1C1	艾默生	3301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	带重锤的软单缆,SS316L	4500mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
165	导波雷达物位传感器	3301HA2S1V5AM0500SAE3M1C1	艾默生	3301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	带重锤的软单缆,SS316L	5000mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
166	导波雷达物位传感器	3301HA2S1V5AM0550SAE3M1C1	艾默生	3301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	带重锤的软单缆,SS316L	5500mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
167	导波雷达物位传感器	3301HA2S1V5AM0600SAE3M1C1	艾默生	3301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	带重锤的软单缆,SS316L	6000mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
168	导波雷达物位传感器	3301HA2S1V5AM0650SAE3M1C1	艾默生	3301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	带重锤的软单缆,SS316L	6500mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
169	导波雷达物位传感器	3301HA2S1V5AM0700SAE3M1C1	艾默生	3301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	带重锤的软单缆,SS316L	7000mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
170	导波雷达物位传感器	3301HA2S1V5AM0900SAE3M1C1	艾默生	3301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	带重锤的软单缆,SS316L	9000mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
171	导波雷达物位传感器	3301HA2S1V5AM1160SAE3M1C1	艾默生	3301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	带重锤的软单缆,SS316L	11600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
172	导波雷达物位传感器	3301HA2S1V5AM1360SAE3M1C1	艾默生	3301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	带重锤的软单缆,SS316L	13600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
173	导波雷达物位传感器	3301HA2S1V5AM1560SAE3M1C1	艾默生	3301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	带重锤的软单缆,SS316L	15600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
174	导波雷达物位传感器	3301HA2S1V5AM1760SAE3M1C1	艾默生	3301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	带重锤的软单缆,SS316L	17600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
175	导波雷达物位传感器	3301HA2S1V5AM1960SAE3M1C1	艾默生	3301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	带重锤的软单缆,SS316L	19600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
176	导波雷达物位传感器	3301HA2S1V5AM2160SAE3M1C1	艾默生	3301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	带重锤的软单缆,SS316L	21600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
177	导波雷达物位传感器	3301HA2S1V5AM2360SAE3M1C1	艾默生	3301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	带重锤的软单缆,SS316L	23600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
178	导波雷达物位传感器	3301HA2S1V5AM0400RAE3M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	4000mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
179	导波雷达物位传感器	3301HA2S1V5AM0450RAE3M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	4500mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
180	导波雷达物位传感器	3301HA2S1V5AM0500RAE3M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	5000mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
181	导波雷达物位传感器	3301HA2S1V5AM0550RAE3M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	5500mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
182	导波雷达物位传感器	3301HA2S1V5AM0600RAE3M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	6000mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
183	导波雷达物位传感器	3301HA2S1V5AM0650RAE3M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	6500mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
184	导波雷达物位传感器	3301HA2S1V5AM0700RAE3M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	7000mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
185	导波雷达物位传感器	3301HA2S1V5AM0900RAE3M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	9000mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
186	导波雷达物位传感器	3301HA2S1V5AM1160RAE3M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	11600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
187	导波雷达物位传感器	3301HA2S1V5AM1360RAE3M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	13600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
188	导波雷达物位传感器	3301HA2S1V5AM1560RAE3M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	15600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
189	导波雷达物位传感器	3301HA2S1V5AM1760RAE3M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	17600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
190	导波雷达物位传感器	3301HA2S1V5AM1960RAE3M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	19600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
191	导波雷达物位传感器	3301HA2S1V5AM2160RAE3M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	21600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
192	导波雷达物位传感器	3301HA2S1V5AM2360RAE3M1C1	艾默生	3301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	带重锤的软单缆,SS316L	23600mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	Viton含氟弹性体	NEPSI隔爆认证	5mm	NEMA 4X/IP66/IP67	-15psig(-1bar)至580psig(40bar)@302℉(150℃)
193	导波雷达物位传感器	5301HA2H1N4AM00115SANAM1C1	艾默生	5301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	硬单杆(8mm),SS316L	1150mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	无	无认证	3mm	NEMA 4X/IP66/IP67	203bar@400℃和345bar@38℃
194	导波雷达物位传感器	5301HA2H1N4AM00140SANAM1C1	艾默生	5301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	硬单杆(8mm),SS316L	1400mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	无	无认证	3mm	NEMA 4X/IP66/IP67	203bar@400℃和345bar@38℃
195	导波雷达物位传感器	5301HA2H1N4AM00165SANAM1C1	艾默生	5301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	硬单杆(8mm),SS316L	1650mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	无	无认证	3mm	NEMA 4X/IP66/IP67	203bar@400℃和345bar@38℃
196	导波雷达物位传感器	5301HA2H1N4AM00190SANAM1C1	艾默生	5301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	硬单杆(8mm),SS316L	1900mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	无	无认证	3mm	NEMA 4X/IP66/IP67	203bar@400℃和345bar@38℃
197	导波雷达物位传感器	5301HA2H1N4AM00215SANAM1C1	艾默生	5301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	硬单杆(8mm),SS316L	2150mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	无	无认证	3mm	NEMA 4X/IP66/IP67	203bar@400℃和345bar@38℃
198	导波雷达物位传感器	5301HA2H1N4AM00240SANAM1C1	艾默生	5301	SS316L,1-1/2寸 BSP螺纹(G 1-1/2)(另外配安装法兰)	硬单杆(8mm),SS316L	2400mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	无	无认证	3mm	NEMA 4X/IP66/IP67	203bar@400℃和345bar@38℃
199	导波雷达物位传感器	5301HA2H1N4AM00115RANAM1C1	艾默生	5301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	硬单杆(8mm),SS316L	1150mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	无	无认证	3mm	NEMA 4X/IP66/IP67	203bar@400℃和345bar@38℃
200	导波雷达物位传感器	5301HA2H1N4AM00140RANAM1C1	艾默生	5301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	硬单杆(8mm),SS316L	1400mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	无	无认证	3mm	NEMA 4X/IP66/IP67	203bar@400℃和345bar@38℃
201	导波雷达物位传感器	5301HA2H1N4AM00165RANAM1C1	艾默生	5301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	硬单杆(8mm),SS316L	1650mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	无	无认证	3mm	NEMA 4X/IP66/IP67	203bar@400℃和345bar@38℃
202	导波雷达物位传感器	5301HA2H1N4AM00190RANAM1C1	艾默生	5301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	硬单杆(8mm),SS316L	1900mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	无	无认证	3mm	NEMA 4X/IP66/IP67	203bar@400℃和345bar@38℃
203	导波雷达物位传感器	5301HA2H1N4AM00215RANAM1C1	艾默生	5301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	硬单杆(8mm),SS316L	2150mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	无	无认证	3mm	NEMA 4X/IP66/IP67	203bar@400℃和345bar@38℃
204	导波雷达物位传感器	5301HA2H1N4AM00240RANAM1C1	艾默生	5301	SS316L,1-1/2寸 NPT螺纹(另外配安装法兰)	硬单杆(8mm),SS316L	2400mm	DC24V	2线,4~20mA HART	M20x1.5接头	仅本地显示	无	无认证	3mm	NEMA 4X/IP66/IP67	203bar@400℃和345bar@38℃
