是否必填			1	1	1	1	1	1	1	1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	过程连接类型	过程连接尺寸	过程连接材质	额定量程	信号输出	显示及操作	电缆入口	认证	填充油	毛细管	结构材料
30	双法兰液位变送器	FMD78-ABA7F12B3MAW(W:1m,M:6m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片哈氏合金C	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	低压侧:1m,高压侧:6m	
31	双法兰液位变送器	FMD78-ABA7F12B31AA(1m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片哈氏合金C	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	1m	
32	双法兰液位变送器	FMD78-ABA7F12B31AA(1.(5m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片哈氏合金C	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	1.5m	
33	双法兰液位变送器	FMD78-ABA7F12B31AA(2m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片哈氏合金C	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	2m	
34	双法兰液位变送器	FMD78-ABA7F12B31AA(2.(5m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片哈氏合金C	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	2.5m	
35	双法兰液位变送器	FMD78-ABA7F12B31AA(3m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片哈氏合金C	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	3m	
36	双法兰液位变送器	FMD78-ABA7F12B31AA(3.(5m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片哈氏合金C	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	3.5m	
37	双法兰液位变送器	FMD78-ABA7F12B31AA(4m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片哈氏合金C	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	4m	
38	双法兰液位变送器	FMD78-ABA7F12B31AA(4.(5m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片哈氏合金C	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	4.5m	
39	双法兰液位变送器	FMD78-ABA7F12B31AA(5m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片哈氏合金C	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	5m	
