			1	1	1	0	1	1	0	1	0	0	1	0	1	1	1	0	0
序号	分类名称	供应商型号规格	品牌	产品系列	应用类型	认证	防爆类型	信号输出	显示及操作	电气连接	防护等级	压力范围	量程	精度	过程连接	连接材质	膜片材质	填充油	附加信息
43	差压压力变送器	EJA110E-JLS5J-919EA/NF2(0~3kPa)	横河川仪	EJA110E	微差压	NEPSI Ex d IIC T4~T6 Gb	隔爆	4-20mA HART	本地显示和设置	M20		-10~10kPa	0~3kPa		NPT1/4内螺纹*2	316	哈氏合金C		
44	差压压力变送器	EJA110E-JLS5J-919EA/NF2(-3~3kPa)	横河川仪	EJA110E	微差压	NEPSI Ex d IIC T4~T6 Gb	隔爆	4-20mA HART	本地显示和设置	M20		-10~10kPa	-3~3kPa		NPT1/4内螺纹*2	316	哈氏合金C		
45	差压压力变送器	EJA110E-JMS5J-919EA/NF2(0~5kPa)	横河川仪	EJA110E	微差压	NEPSI Ex d IIC T4~T6 Gb	隔爆	4-20mA HART	本地显示和设置	M20		-100~100kPa	0~5kPa		NPT1/4内螺纹*2	316	哈氏合金C		
46	差压压力变送器	EJA110E-JMS5J-919EA/NF2(-5~5kPa)	横河川仪	EJA110E	微差压	NEPSI Ex d IIC T4~T6 Gb	隔爆	4-20mA HART	本地显示和设置	M20		-100~100kPa	-5~5kPa		NPT1/4内螺纹*2	316	哈氏合金C		
47	差压压力变送器	EJA110E-JMS5J-919EA/NF2(0~10kPa)	横河川仪	EJA110E	微差压	NEPSI Ex d IIC T4~T6 Gb	隔爆	4-20mA HART	本地显示和设置	M20		-100~100kPa	0~10kPa		NPT1/4内螺纹*2	316	哈氏合金C		
48	差压压力变送器	EJA110E-JMS5J-919EA/NF2(-10~10kPa)	横河川仪	EJA110E	微差压	NEPSI Ex d IIC T4~T6 Gb	隔爆	4-20mA HART	本地显示和设置	M20		-100~100kPa	-10~10kPa		NPT1/4内螺纹*2	316	哈氏合金C		
49	差压压力变送器	EJA110E-JLS5J-919EA/KF22(0~3kPa)	横河川仪	EJA110E	微差压	ATEX 2D Exd IIC T6~T4 Gb	隔爆	4-20mA HART	本地显示和设置	M20		-10~10kPa	0~3kPa		NPT1/4内螺纹*2	316	哈氏合金C		
50	差压压力变送器	EJA110E-JLS5J-919EA/KF22(-3~3kPa)	横河川仪	EJA110E	微差压	ATEX 2D Exd IIC T6~T4 Gb	隔爆	4-20mA HART	本地显示和设置	M20		-10~10kPa	-3~3kPa		NPT1/4内螺纹*2	316	哈氏合金C		
51	差压压力变送器	EJA110E-JMS5J-919EA/KF22(0~5kPa)	横河川仪	EJA110E	微差压	ATEX 2D Exd IIC T6~T4 Gb	隔爆	4-20mA HART	本地显示和设置	M20		-100~100kPa	0~5kPa		NPT1/4内螺纹*2	316	哈氏合金C		
52	差压压力变送器	EJA110E-JMS5J-919EA/KF22(-5~5kPa)	横河川仪	EJA110E	微差压	ATEX 2D Exd IIC T6~T4 Gb	隔爆	4-20mA HART	本地显示和设置	M20		-100~100kPa	-5~5kPa		NPT1/4内螺纹*2	316	哈氏合金C		
53	差压压力变送器	EJA110E-JMS5J-919EA/KF22(0~10kPa)	横河川仪	EJA110E	微差压	ATEX 2D Exd IIC T6~T4 Gb	隔爆	4-20mA HART	本地显示和设置	M20		-100~100kPa	0~10kPa		NPT1/4内螺纹*2	316	哈氏合金C		
54	差压压力变送器	EJA110E-JMS5J-919EA/KF22(-10~10kPa)	横河川仪	EJA110E	微差压	ATEX 2D Exd IIC T6~T4 Gb	隔爆	4-20mA HART	本地显示和设置	M20		-100~100kPa	-10~10kPa		NPT1/4内螺纹*2	316	哈氏合金C		
55	差压压力变送器	EJA430E-JHS5J-919EA(0~10kPa)	横河川仪	EJA430E	微差压	无认证	非防爆	4-20mA HART	本地显示和设置	M20		-100~500kPa	0~10kPa		NPT1/4内螺纹*2	316	哈氏合金C		
56	差压压力变送器	EJA430E-JHS5J-919EA(-10~10kPa)	横河川仪	EJA430E	微差压	无认证	非防爆	4-20mA HART	本地显示和设置	M20		-100~500kPa	-10~10kPa		NPT1/4内螺纹*2	316	哈氏合金C		
57	差压压力变送器	EJA430E-JHS5J-919EA/NF2(0~10kPa)	横河川仪	EJA430E	微差压	NEPSI Ex d IIC T4~T6 Gb	隔爆	4-20mA HART	本地显示和设置	M20		-100~500kPa	0~10kPa		NPT1/4内螺纹*2	316	哈氏合金C		
58	差压压力变送器	EJA430E-JHS5J-919EA/NF2(-10~10kPa)	横河川仪	EJA430E	微差压	NEPSI Ex d IIC T4~T6 Gb	隔爆	4-20mA HART	本地显示和设置	M20		-100~500kPa	-10~10kPa		NPT1/4内螺纹*2	316	哈氏合金C		
59	差压压力变送器	EJA430E-JHS5J-919EA/KF22(0~10kPa)	横河川仪	EJA430E	微差压	ATEX 2D Exd IIC T6~T4 Gb	隔爆	4-20mA HART	本地显示和设置	M20		-100~500kPa	0~10kPa		NPT1/4内螺纹*2	316	哈氏合金C		
