			1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	认证	防爆类型	信号输出	显示及操作	电缆入口	防护等级	测量范围	精度	过程连接	连接材质	膜片材质	填充油	量程	附加信息
41	表压压力变送器	PMP51-BC21JB1PGBG1JA1+AK(0~6bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~6bar	
42	表压压力变送器	PMP51-BC21JB1PGBG1JA1+AK(0~10bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~10bar	
43	表压压力变送器	PMP51-BC21JB1SGBG1JA1+AK(0~16bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~16bar	
44	表压压力变送器	PMP51-BC21JB1SGBG1JA1+AK(0~25bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~25bar	
45	表压压力变送器	PMP51-BC21JB1UGBG1JA1+AK(0~60bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~60bar	
46	表压压力变送器	PMP51-BC21JB1UGBG1JA1+AK(0~100bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~100bar	
47	表压压力变送器	PMP51-BC21JB1WGBG1JA1+AK(0~160bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~400bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~160bar	
48	表压压力变送器	PMP51-BC21JB1WGBG1JA1+AK(0~250bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~400bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~250bar	
49	表压压力变送器	PMP51-BC21JB1PGBR1CB1+AK(0~6bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~6bar	
50	表压压力变送器	PMP51-BC21JB1PGBR1CB1+AK(0~10bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~10bar	
51	表压压力变送器	PMP51-BC21JB1SGBR1CB1+AK(0~16bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~16bar	
52	表压压力变送器	PMP51-BC21JB1SGBR1CB1+AK(0~25bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~25bar	
53	表压压力变送器	PMP51-BC21JB1UGBR1CB1+AK(0~60bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~60bar	
54	表压压力变送器	PMP51-BC21JB1UGBR1CB1+AK(0~100bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~100bar	
55	表压压力变送器	PMP51-BC21JB1WGBR1CB1+AK(0~160bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~400bar	±0.15%	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~160bar	
56	表压压力变送器	PMP51-BC21JB1WGBR1CB1+AK(0~250bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~400bar	±0.15%	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~250bar	
57	表压压力变送器	PMP51-BC21JB1PGBGRCB1+AK(0~6bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	G1/2外螺纹,齐平式安装	哈氏合金C	哈氏合金C	硅油	0~6bar	
58	表压压力变送器	PMP51-BC21JB1PGBGRCB1+AK(0~10bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	G1/2外螺纹,齐平式安装	哈氏合金C	哈氏合金C	硅油	0~10bar	
59	表压压力变送器	PMP51-BC21JB1SGBGRCB1+AK(0~16bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	G1/2外螺纹,齐平式安装	哈氏合金C	哈氏合金C	硅油	0~16bar	
60	表压压力变送器	PMP51-BC21JB1SGBGRCB1+AK(0~25bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	G1/2外螺纹,齐平式安装	哈氏合金C	哈氏合金C	硅油	0~25bar	
61	表压压力变送器	PMP51-BC21JB1UGBGRCB1+AK(0~60bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	G1/2外螺纹,齐平式安装	哈氏合金C	哈氏合金C	硅油	0~60bar	
62	表压压力变送器	PMP51-BC21JB1UGBGRCB1+AK(0~100bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	G1/2外螺纹,齐平式安装	哈氏合金C	哈氏合金C	硅油	0~100bar	
63	表压压力变送器	PMP51-BC21JB1WGBGRCB1+AK(0~160bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~400bar	±0.15%	G1/2外螺纹,齐平式安装	哈氏合金C	哈氏合金C	硅油	0~160bar	
64	表压压力变送器	PMP51-BC21JB1WGBGRCB1+AK(0~250bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~400bar	±0.15%	G1/2外螺纹,齐平式安装	哈氏合金C	哈氏合金C	硅油	0~250bar	
65	表压压力变送器	PMP51-NB21JB1PGBGMJA1+AK(0~6bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	G1/2外螺纹	316L	316L	硅油	0~6bar	
66	表压压力变送器	PMP51-NB21JB1PGBGMJA1+AK(0~10bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	G1/2外螺纹	316L	316L	硅油	0~10bar	
67	表压压力变送器	PMP51-NB21JB1SGBGMJA1+AK(0~16bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	G1/2外螺纹	316L	316L	硅油	0~16bar	
68	表压压力变送器	PMP51-NB21JB1SGBGMJA1+AK(0~25bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	G1/2外螺纹	316L	316L	硅油	0~25bar	
69	表压压力变送器	PMP51-NB21JB1UGBGMJA1+AK(0~60bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	G1/2外螺纹	316L	316L	硅油	0~60bar	
70	表压压力变送器	PMP51-NB21JB1UGBGMJA1+AK(0~100bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	G1/2外螺纹	316L	316L	硅油	0~100bar	
71	表压压力变送器	PMP51-NB21JB1WGBGMJA1+AK(0~160bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~400bar	±0.15%	G1/2外螺纹	316L	316L	硅油	0~160bar	
72	表压压力变送器	PMP51-NB21JB1WGBGMJA1+AK(0~250bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~400bar	±0.15%	G1/2外螺纹	316L	316L	硅油	0~250bar	
73	表压压力变送器	PMP51-NB21JB1PGBG1JA1+AK(0~6bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~6bar	
74	表压压力变送器	PMP51-NB21JB1PGBG1JA1+AK(0~10bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~10bar	
75	表压压力变送器	PMP51-NB21JB1SGBG1JA1+AK(0~16bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~16bar	
76	表压压力变送器	PMP51-NB21JB1SGBG1JA1+AK(0~25bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~25bar	
77	表压压力变送器	PMP51-NB21JB1UGBG1JA1+AK(0~60bar)	E+H	PMP51	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~60bar	
