是否必填			1	1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	电机功率	相数及电压	通讯代号	EMC滤波器	备注
71	低压变频器	ATV930C22N4	施耐德	ATV930系列标准变频器	220kW	三相350-480V 50/60Hz	集成MODBUS TCP/IP双口	采用集成C2类EMC滤波器	壁挂式，轻载
72	低压变频器	ATV930C25N4C	施耐德	ATV930系列标准变频器	250kW	三相350-480V 50/60Hz	集成MODBUS TCP/IP双口	采用集成C2类EMC滤波器	壁挂式，轻载
73	低压变频器	ATV930C31N4C	施耐德	ATV930系列标准变频器	310kW	三相350-480V 50/60Hz	集成MODBUS TCP/IP双口	采用集成C2类EMC滤波器	壁挂式，轻载
74	低压变频器	ACS580-01-02A6-4	ABB	ACS580-01系列变频器	0.75kW	三相AC380V-415V	无代号	标配内置C2滤波器	一般应用
75	低压变频器	ACS580-01-03A3-4	ABB	ACS580-01系列变频器	1.1kW	三相AC380V-415V	无代号	标配内置C2滤波器	一般应用
76	低压变频器	ACS580-01-04A0-4	ABB	ACS580-01系列变频器	1.5kW	三相AC380V-415V	无代号	标配内置C2滤波器	一般应用
77	低压变频器	ACS580-01-05A6-4	ABB	ACS580-01系列变频器	2.2kW	三相AC380V-415V	无代号	标配内置C2滤波器	一般应用
78	低压变频器	ACS580-01-07A2-4	ABB	ACS580-01系列变频器	3kW	三相AC380V-415V	无代号	标配内置C2滤波器	一般应用
79	低压变频器	ACS580-01-09A4-4	ABB	ACS580-01系列变频器	4kW	三相AC380V-415V	无代号	标配内置C2滤波器	一般应用
80	低压变频器	ACS580-01-12A6-4	ABB	ACS580-01系列变频器	5.5kW	三相AC380V-415V	无代号	标配内置C2滤波器	一般应用
81	低压变频器	ACS580-01-017A-4	ABB	ACS580-01系列变频器	7.5kW	三相AC380V-415V	无代号	标配内置C2滤波器	一般应用
82	低压变频器	ACS580-01-025A-4	ABB	ACS580-01系列变频器	11kW	三相AC380V-415V	无代号	标配内置C2滤波器	一般应用
83	低压变频器	ACS580-01-032A-4	ABB	ACS580-01系列变频器	15kW	三相AC380V-415V	无代号	标配内置C2滤波器	一般应用
84	低压变频器	ACS580-01-038A-4	ABB	ACS580-01系列变频器	18.5kW	三相AC380V-415V	无代号	标配内置C2滤波器	一般应用
85	低压变频器	ACS580-01-045A-4	ABB	ACS580-01系列变频器	22kW	三相AC380V-415V	无代号	标配内置C2滤波器	一般应用
86	低压变频器	ACS580-01-062A-4	ABB	ACS580-01系列变频器	30kW	三相AC380V-415V	无代号	标配内置C2滤波器	一般应用
87	低压变频器	ACS580-01-073A-4	ABB	ACS580-01系列变频器	37kW	三相AC380V-415V	无代号	标配内置C2滤波器	一般应用
88	低压变频器	ACS580-01-088A-4	ABB	ACS580-01系列变频器	45kW	三相AC380V-415V	无代号	标配内置C2滤波器	一般应用
89	低压变频器	ACS580-01-106A-4	ABB	ACS580-01系列变频器	55kW	三相AC380V-415V	无代号	标配内置C2滤波器	一般应用
90	低压变频器	ACS580-01-145A-4	ABB	ACS580-01系列变频器	75kW	三相AC380V-415V	无代号	标配内置C2滤波器	一般应用
91	低压变频器	ACS580-01-169A-4	ABB	ACS580-01系列变频器	90kW	三相AC380V-415V	无代号	标配内置C2滤波器	一般应用
92	低压变频器	ACS580-01-206A-4	ABB	ACS580-01系列变频器	110kW	三相AC380V-415V	无代号	标配内置C2滤波器	一般应用
93	低压变频器	ACS580-01-246A-4	ABB	ACS580-01系列变频器	132kW	三相AC380V-415V	无代号	标配内置C2滤波器	一般应用
94	低压变频器	ACS580-01-293A-4	ABB	ACS580-01系列变频器	160kW	三相AC380V-415V	无代号	标配内置C2滤波器	一般应用
95	低压变频器	ACS580-01-363A-4	ABB	ACS580-01系列变频器	200kW	三相AC380V-415V	无代号	标配内置C2滤波器	一般应用
96	低压变频器	ACS580-01-430A-4	ABB	ACS580-01系列变频器	250kW	三相AC380V-415V	无代号	标配内置C2滤波器	一般应用
97	低压变频器	ACS580-04-505A-4	ABB	ACS580-04系列变频器	250kW	三相AC380V-415V	无代号	可选件	一般应用
98	低压变频器	ACS580-04-585A-4 	ABB	ACS580-04系列变频器	315kW	三相AC380V-415V	无代号	可选件	一般应用
99	低压变频器	ACS580-04-650A-4	ABB	ACS580-04系列变频器	355kW	三相AC380V-415V	无代号	可选件	一般应用
