			1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	0
序号	分类名称	供应商型号规格	品牌	产品系列	应用类型	认证	防爆类型	信号输出	显示及操作	电缆入口	防护等级	过程连接	过程连接材质	膜片材质	填充油	量程	压力范围	精度	附加信息
78	绝压压力变送器	EJA510E-JCS8N-019EN/NF2(0~25bar)	横河川仪	EJA510E	普通绝压	NEPSI Ex d IIC T4~T6 Gb	隔爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP67	G1/2内螺纹	316L	哈氏合金C	硅油	0~25bar	0~100bar Abs	±0.055%	
79	绝压压力变送器	EJA510E-JAS9N-019EN/NF2(0~1bar)	横河川仪	EJA510E	普通绝压	NEPSI Ex d IIC T4~T6 Gb	隔爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP67	M20*1.5内螺纹	316L	哈氏合金C	硅油	0~1bar	0~2bar Abs	±0.055%	
80	绝压压力变送器	EJA510E-JAS9N-019EN/NF2(0~2bar)	横河川仪	EJA510E	普通绝压	NEPSI Ex d IIC T4~T6 Gb	隔爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP67	M20*1.5内螺纹	316L	哈氏合金C	硅油	0~2bar	0~2bar Abs	±0.055%	
81	绝压压力变送器	EJA510E-JBS9N-019EN/NF2(0~6bar)	横河川仪	EJA510E	普通绝压	NEPSI Ex d IIC T4~T6 Gb	隔爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP67	M20*1.5内螺纹	316L	哈氏合金C	硅油	0~6bar	0~20bar Abs	±0.055%	
82	绝压压力变送器	EJA510E-JBS9N-019EN/NF2(0~10bar)	横河川仪	EJA510E	普通绝压	NEPSI Ex d IIC T4~T6 Gb	隔爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP67	M20*1.5内螺纹	316L	哈氏合金C	硅油	0~10bar	0~20bar Abs	±0.055%	
83	绝压压力变送器	EJA510E-JBS9N-019EN/NF2(0~16bar)	横河川仪	EJA510E	普通绝压	NEPSI Ex d IIC T4~T6 Gb	隔爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP67	M20*1.5内螺纹	316L	哈氏合金C	硅油	0~16bar	0~20bar Abs	±0.055%	
84	绝压压力变送器	EJA510E-JCS9N-019EN/NF2(0~25bar)	横河川仪	EJA510E	普通绝压	NEPSI Ex d IIC T4~T6 Gb	隔爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP67	M20*1.5内螺纹	316L	哈氏合金C	硅油	0~25bar	0~100bar Abs	±0.055%	
85	绝压压力变送器	EJA510E-JAS8N-019EN/KF22(0~1bar)	横河川仪	EJA510E	普通绝压	ATEX 2D Exd IIC T6~T4 Gb	隔爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP67	G1/2内螺纹	316L	哈氏合金C	硅油	0~1bar	0~2bar Abs	±0.055%	
86	绝压压力变送器	EJA510E-JAS8N-019EN/KF22(0~2bar)	横河川仪	EJA510E	普通绝压	ATEX 2D Exd IIC T6~T4 Gb	隔爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP67	G1/2内螺纹	316L	哈氏合金C	硅油	0~2bar	0~2bar Abs	±0.055%	
87	绝压压力变送器	EJA510E-JBS8N-019EN/KF22(0~6bar)	横河川仪	EJA510E	普通绝压	ATEX 2D Exd IIC T6~T4 Gb	隔爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP67	G1/2内螺纹	316L	哈氏合金C	硅油	0~6bar	0~20bar Abs	±0.055%	
