是否必填			1	1	1	1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	壳架电流	分断能力	脱扣器	极数	额定电流	控制器型号	控制器电压
97	双电源	ATS NSX250/125F 3P3D-BA AC220V TM-D	施耐德	ATS	250A	36KA	TM-D	3P	125	BA	AC220V
98	双电源	ATS NSX250/160F 3P3D-BA AC220V TM-D	施耐德	ATS	250A	36KA	TM-D	3P	160	BA	AC220V
99	双电源	ATS NSX250/200F 3P3D-BA AC220V TM-D	施耐德	ATS	250A	36KA	TM-D	3P	200	BA	AC220V
100	双电源	ATS NSX250/250F 3P3D-BA AC220V TM-D	施耐德	ATS	250A	36KA	TM-D	3P	250	BA	AC220V
101	双电源	ATS NSX250/125F 3P3D-UA AC220V TM-D	施耐德	ATS	250A	36KA	TM-D	3P	125	UA	AC220V
102	双电源	ATS NSX250/160F 3P3D-UA AC220V TM-D	施耐德	ATS	250A	36KA	TM-D	3P	160	UA	AC220V
103	双电源	ATS NSX250/200F 3P3D-UA AC220V TM-D	施耐德	ATS	250A	36KA	TM-D	3P	200	UA	AC220V
104	双电源	ATS NSX250/250F 3P3D-UA AC220V TM-D	施耐德	ATS	250A	36KA	TM-D	3P	250	UA	AC220V
105	双电源	ATS NSX250/125N 3P3D-BA AC220V TM-D	施耐德	ATS	250A	50KA	TM-D	3P	125	BA	AC220V
106	双电源	ATS NSX250/160N 3P3D-BA AC220V TM-D	施耐德	ATS	250A	50KA	TM-D	3P	160	BA	AC220V
107	双电源	ATS NSX250/200N 3P3D-BA AC220V TM-D	施耐德	ATS	250A	50KA	TM-D	3P	200	BA	AC220V
108	双电源	ATS NSX250/250N 3P3D-BA AC220V TM-D	施耐德	ATS	250A	50KA	TM-D	3P	250	BA	AC220V
109	双电源	ATS NSX250/125N 3P3D-UA AC220V TM-D	施耐德	ATS	250A	50KA	TM-D	3P	125	UA	AC220V
110	双电源	ATS NSX250/160N 3P3D-UA AC220V TM-D	施耐德	ATS	250A	50KA	TM-D	3P	160	UA	AC220V
111	双电源	ATS NSX250/200N 3P3D-UA AC220V TM-D	施耐德	ATS	250A	50KA	TM-D	3P	200	UA	AC220V
112	双电源	ATS NSX250/250N 3P3D-UA AC220V TM-D	施耐德	ATS	250A	50KA	TM-D	3P	250	UA	AC220V
113	双电源	ATS HSX250/125H 3P3D-BA AC220V TM-D	施耐德	ATS	250A	70KA	TM-D	3P	125	BA	AC220V
114	双电源	ATS HSX250/160H 3P3D-BA AC220V TM-D	施耐德	ATS	250A	70KA	TM-D	3P	160	BA	AC220V
115	双电源	ATS HSX250/200H 3P3D-BA AC220V TM-D	施耐德	ATS	250A	70KA	TM-D	3P	200	BA	AC220V
116	双电源	ATS HSX250/250H 3P3D-BA AC220V TM-D	施耐德	ATS	250A	70KA	TM-D	3P	250	BA	AC220V
117	双电源	ATS HSX250/125H 3P3D-UA AC220V TM-D	施耐德	ATS	250A	70KA	TM-D	3P	125	UA	AC220V
118	双电源	ATS HSX250/160H 3P3D-UA AC220V TM-D	施耐德	ATS	250A	70KA	TM-D	3P	160	UA	AC220V
119	双电源	ATS HSX250/200H 3P3D-UA AC220V TM-D	施耐德	ATS	250A	70KA	TM-D	3P	200	UA	AC220V
120	双电源	ATS HSX250/250H 3P3D-UA AC220V TM-D	施耐德	ATS	250A	70KA	TM-D	3P	250	UA	AC220V
121	双电源	ATS NSX250/100F 3P3D-BA AC220V MIC2.2	施耐德	ATS	250A	36KA	MIC2.2	3P	100	BA	AC220V
122	双电源	ATS NSX250/160F 3P3D-BA AC220V MIC2.2	施耐德	ATS	250A	36KA	MIC2.2	3P	160	BA	AC220V
123	双电源	ATS NSX250/250F 3P3D-BA AC220V MIC2.2	施耐德	ATS	250A	36KA	MIC2.2	3P	250	BA	AC220V
124	双电源	ATS NSX250/100F 3P3D-UA AC220V MIC2.2	施耐德	ATS	250A	36KA	MIC2.2	3P	100	UA	AC220V
125	双电源	ATS NSX250/160F 3P3D-UA AC220V MIC2.2	施耐德	ATS	250A	36KA	MIC2.2	3P	160	UA	AC220V
126	双电源	ATS NSX250/250F 3P3D-UA AC220V MIC2.2	施耐德	ATS	250A	36KA	MIC2.2	3P	250	UA	AC220V
127	双电源	ATS NSX250/100N 3P3D-BA AC220V MIC2.2	施耐德	ATS	250A	50KA	MIC2.2	3P	100	BA	AC220V
128	双电源	ATS NSX250/160N 3P3D-BA AC220V MIC2.2	施耐德	ATS	250A	50KA	MIC2.2	3P	160	BA	AC220V
129	双电源	ATS NSX250/250N 3P3D-BA AC220V MIC2.2	施耐德	ATS	250A	50KA	MIC2.2	3P	250	BA	AC220V
130	双电源	ATS NSX250/100N 3P3D-UA AC220V MIC2.2	施耐德	ATS	250A	50KA	MIC2.2	3P	100	UA	AC220V
131	双电源	ATS NSX250/160N 3P3D-UA AC220V MIC2.2	施耐德	ATS	250A	50KA	MIC2.2	3P	160	UA	AC220V
132	双电源	ATS NSX250/250N 3P3D-UA AC220V MIC2.2	施耐德	ATS	250A	50KA	MIC2.2	3P	250	UA	AC220V
133	双电源	ATS HSX250/100H 3P3D-BA AC220V MIC2.2	施耐德	ATS	250A	70KA	MIC2.2	3P	100	BA	AC220V
134	双电源	ATS HSX250/160H 3P3D-BA AC220V MIC2.2	施耐德	ATS	250A	70KA	MIC2.2	3P	160	BA	AC220V
135	双电源	ATS HSX250/250H 3P3D-BA AC220V MIC2.2	施耐德	ATS	250A	70KA	MIC2.2	3P	250	BA	AC220V
136	双电源	ATS HSX250/100H 3P3D-UA AC220V MIC2.2	施耐德	ATS	250A	70KA	MIC2.2	3P	100	UA	AC220V
137	双电源	ATS HSX250/160H 3P3D-UA AC220V MIC2.2	施耐德	ATS	250A	70KA	MIC2.2	3P	160	UA	AC220V
138	双电源	ATS HSX250/250H 3P3D-UA AC220V MIC2.2	施耐德	ATS	250A	70KA	MIC2.2	3P	250	UA	AC220V
139	双电源	ATS NSX400/250F 3P3D-BA AC220V MIC2.3	施耐德	ATS	400A	36KA	MIC2.3	3P	250	BA	AC220V
140	双电源	ATS NSX400/400F 3P3D-BA AC220V MIC2.3	施耐德	ATS	400A	36KA	MIC2.3	3P	400	BA	AC220V
141	双电源	ATS NSX400/250F 3P3D-UA AC220V MIC2.3	施耐德	ATS	400A	36KA	MIC2.3	3P	250	UA	AC220V
142	双电源	ATS NSX400/400F 3P3D-UA AC220V MIC2.3	施耐德	ATS	400A	36KA	MIC2.3	3P	400	UA	AC220V
143	双电源	ATS NSX400/250N 3P3D-BA AC220V MIC2.3	施耐德	ATS	400A	50KA	MIC2.3	3P	250	BA	AC220V
144	双电源	ATS NSX400/400N 3P3D-BA AC220V MIC2.3	施耐德	ATS	400A	50KA	MIC2.3	3P	400	BA	AC220V
145	双电源	ATS NSX400/250N 3P3D-UA AC220V MIC2.3	施耐德	ATS	400A	50KA	MIC2.3	3P	250	UA	AC220V
146	双电源	ATS NSX400/400N 3P3D-UA AC220V MIC2.3	施耐德	ATS	400A	50KA	MIC2.3	3P	400	UA	AC220V
147	双电源	ATS HSX400/250H 3P3D-BA AC220V MIC2.3	施耐德	ATS	400A	70KA	MIC2.3	3P	250	BA	AC220V
148	双电源	ATS HSX400/400H 3P3D-BA AC220V MIC2.3	施耐德	ATS	400A	70KA	MIC2.3	3P	400	BA	AC220V
149	双电源	ATS HSX400/250H 3P3D-UA AC220V MIC2.3	施耐德	ATS	400A	70KA	MIC2.3	3P	250	UA	AC220V
150	双电源	ATS HSX400/400H 3P3D-UA AC220V MIC2.3	施耐德	ATS	400A	70KA	MIC2.3	3P	400	UA	AC220V
151	双电源	ATS NSX630/630F 3P3D-BA AC220V MIC2.3	施耐德	ATS	630A	36KA	MIC2.3	3P	630	BA	AC220V
152	双电源	ATS NSX630/630F 3P3D-UA AC220V MIC2.3	施耐德	ATS	630A	36KA	MIC2.3	3P	630	UA	AC220V
153	双电源	ATS NSX630/630N 3P3D-BA AC220V MIC2.3	施耐德	ATS	630A	50KA	MIC2.3	3P	630	BA	AC220V
154	双电源	ATS NSX630/630N 3P3D-UA AC220V MIC2.3	施耐德	ATS	630A	50KA	MIC2.3	3P	630	UA	AC220V
155	双电源	ATS HSX630/630H 3P3D-BA AC220V MIC2.3	施耐德	ATS	630A	70KA	MIC2.3	3P	630	BA	AC220V
156	双电源	ATS HSX630/630H 3P3D-UA AC220V MIC2.3	施耐德	ATS	630A	70KA	MIC2.3	3P	630	UA	AC220V
