是否必填			1	1	1	1	1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	应用类别	分断能力	脱扣曲线	额定电流	极数	可配剩余电流动作附件	额定剩余动作电流	可配电气附件
375	微型断路器	iC65 L-D 63A /2P + VE 30mA	施耐德	iC65	标准断路器	15KA	D型	63A	2P	VE:电子式AC类	30mA	无脱扣附件
376	微型断路器	iDPN a 6A	施耐德	iDPN	紧凑型断路器	4.5KA	C型	6A	1P+N	无漏电保护	无漏电保护	无脱扣附件
377	微型断路器	iDPN a 10A	施耐德	iDPN	紧凑型断路器	4.5KA	C型	10A	1P+N	无漏电保护	无漏电保护	无脱扣附件
378	微型断路器	iDPN a 16A	施耐德	iDPN	紧凑型断路器	4.5KA	C型	16A	1P+N	无漏电保护	无漏电保护	无脱扣附件
379	微型断路器	iDPN a 20A	施耐德	iDPN	紧凑型断路器	4.5KA	C型	20A	1P+N	无漏电保护	无漏电保护	无脱扣附件
380	微型断路器	iDPN a 25A	施耐德	iDPN	紧凑型断路器	4.5KA	C型	25A	1P+N	无漏电保护	无漏电保护	无脱扣附件
381	微型断路器	iDPN a 32A	施耐德	iDPN	紧凑型断路器	4.5KA	C型	32A	1P+N	无漏电保护	无漏电保护	无脱扣附件
382	微型断路器	iDPN a 40A	施耐德	iDPN	紧凑型断路器	4.5KA	C型	40A	1P+N	无漏电保护	无漏电保护	无脱扣附件
383	微型断路器	iDPN N 6A	施耐德	iDPN	紧凑型断路器	6KA	C型	6A	1P+N	无漏电保护	无漏电保护	无脱扣附件
384	微型断路器	iDPN N 10A	施耐德	iDPN	紧凑型断路器	6KA	C型	10A	1P+N	无漏电保护	无漏电保护	无脱扣附件
385	微型断路器	iDPN N 16A	施耐德	iDPN	紧凑型断路器	6KA	C型	16A	1P+N	无漏电保护	无漏电保护	无脱扣附件
386	微型断路器	iDPN N 20A	施耐德	iDPN	紧凑型断路器	6KA	C型	20A	1P+N	无漏电保护	无漏电保护	无脱扣附件
387	微型断路器	iDPN N 25A	施耐德	iDPN	紧凑型断路器	6KA	C型	25A	1P+N	无漏电保护	无漏电保护	无脱扣附件
388	微型断路器	iDPN N 32A	施耐德	iDPN	紧凑型断路器	6KA	C型	32A	1P+N	无漏电保护	无漏电保护	无脱扣附件
389	微型断路器	iDPN N 40A	施耐德	iDPN	紧凑型断路器	6KA	C型	40A	1P+N	无漏电保护	无漏电保护	无脱扣附件
390	微型断路器	iDPN H 6A	施耐德	iDPN	紧凑型断路器	10KA	C型	6A	1P+N	无漏电保护	无漏电保护	无脱扣附件
391	微型断路器	iDPN H 10A	施耐德	iDPN	紧凑型断路器	10KA	C型	10A	1P+N	无漏电保护	无漏电保护	无脱扣附件
392	微型断路器	iDPN H 16A	施耐德	iDPN	紧凑型断路器	10KA	C型	16A	1P+N	无漏电保护	无漏电保护	无脱扣附件
393	微型断路器	iDPN H 20A	施耐德	iDPN	紧凑型断路器	10KA	C型	20A	1P+N	无漏电保护	无漏电保护	无脱扣附件
394	微型断路器	iDPN H 25A	施耐德	iDPN	紧凑型断路器	10KA	C型	25A	1P+N	无漏电保护	无漏电保护	无脱扣附件
395	微型断路器	iDPN H 32A	施耐德	iDPN	紧凑型断路器	10KA	C型	32A	1P+N	无漏电保护	无漏电保护	无脱扣附件
396	微型断路器	iDPN H 40A	施耐德	iDPN	紧凑型断路器	10KA	C型	40A	1P+N	无漏电保护	无漏电保护	无脱扣附件
397	微型断路器	iDPN a 10A + VE 30mA	施耐德	iDPN	紧凑型断路器	4.5KA	C型	10A	1P+N	VE:电子式AC类	30mA	无脱扣附件
398	微型断路器	iDPN a 16A + VE 30mA	施耐德	iDPN	紧凑型断路器	4.5KA	C型	16A	1P+N	VE:电子式AC类	30mA	无脱扣附件
399	微型断路器	iDPN a 20A + VE 30mA	施耐德	iDPN	紧凑型断路器	4.5KA	C型	20A	1P+N	VE:电子式AC类	30mA	无脱扣附件
400	微型断路器	iDPN a 25A + VE 30mA	施耐德	iDPN	紧凑型断路器	4.5KA	C型	25A	1P+N	VE:电子式AC类	30mA	无脱扣附件
401	微型断路器	iDPN a 32A + VE 30mA	施耐德	iDPN	紧凑型断路器	4.5KA	C型	32A	1P+N	VE:电子式AC类	30mA	无脱扣附件
402	微型断路器	iDPN a 40A + VE 30mA	施耐德	iDPN	紧凑型断路器	4.5KA	C型	40A	1P+N	VE:电子式AC类	30mA	无脱扣附件
403	微型断路器	iDPN N 10A + VE 30mA	施耐德	iDPN	紧凑型断路器	6KA	C型	10A	1P+N	VE:电子式AC类	30mA	无脱扣附件
404	微型断路器	iDPN N 16A + VE 30mA	施耐德	iDPN	紧凑型断路器	6KA	C型	16A	1P+N	VE:电子式AC类	30mA	无脱扣附件
405	微型断路器	iDPN N 20A + VE 30mA	施耐德	iDPN	紧凑型断路器	6KA	C型	20A	1P+N	VE:电子式AC类	30mA	无脱扣附件
406	微型断路器	iDPN N 25A + VE 30mA	施耐德	iDPN	紧凑型断路器	6KA	C型	25A	1P+N	VE:电子式AC类	30mA	无脱扣附件
407	微型断路器	iDPN N 32A + VE 30mA	施耐德	iDPN	紧凑型断路器	6KA	C型	32A	1P+N	VE:电子式AC类	30mA	无脱扣附件
408	微型断路器	iDPN N 40A + VE 30mA	施耐德	iDPN	紧凑型断路器	6KA	C型	40A	1P+N	VE:电子式AC类	30mA	无脱扣附件
409	微型断路器	iDPN H 10A + VE 30mA	施耐德	iDPN	紧凑型断路器	10KA	C型	10A	1P+N	VE:电子式AC类	30mA	无脱扣附件
410	微型断路器	iDPN H 16A + VE 30mA	施耐德	iDPN	紧凑型断路器	10KA	C型	16A	1P+N	VE:电子式AC类	30mA	无脱扣附件
411	微型断路器	iDPN H 20A + VE 30mA	施耐德	iDPN	紧凑型断路器	10KA	C型	20A	1P+N	VE:电子式AC类	30mA	无脱扣附件
412	微型断路器	iDPN H 25A + VE 30mA	施耐德	iDPN	紧凑型断路器	10KA	C型	25A	1P+N	VE:电子式AC类	30mA	无脱扣附件
413	微型断路器	iDPN H 32A + VE 30mA	施耐德	iDPN	紧凑型断路器	10KA	C型	32A	1P+N	VE:电子式AC类	30mA	无脱扣附件
414	微型断路器	iDPN H 40A + VE 30mA	施耐德	iDPN	紧凑型断路器	10KA	C型	40A	1P+N	VE:电子式AC类	30mA	无脱扣附件
415	微型断路器	C65N - DC - C 1A/1P	施耐德	C65-DC	标准型断路器	6KA	C型	1A	1P	无漏电保护	无漏电保护	无脱扣附件
416	微型断路器	C65N - DC - C 2A/1P	施耐德	C65-DC	标准型断路器	6KA	C型	2A	1P	无漏电保护	无漏电保护	无脱扣附件
417	微型断路器	C65N - DC - C 4A/1P	施耐德	C65-DC	标准型断路器	6KA	C型	4A	1P	无漏电保护	无漏电保护	无脱扣附件
418	微型断路器	C65N - DC - C 6A/1P	施耐德	C65-DC	标准型断路器	6KA	C型	6A	1P	无漏电保护	无漏电保护	无脱扣附件
419	微型断路器	C65N - DC - C 10A/1P	施耐德	C65-DC	标准型断路器	6KA	C型	10A	1P	无漏电保护	无漏电保护	无脱扣附件
420	微型断路器	C65N - DC - C 16A/1P	施耐德	C65-DC	标准型断路器	6KA	C型	16A	1P	无漏电保护	无漏电保护	无脱扣附件
421	微型断路器	C65N - DC - C 20A/1P	施耐德	C65-DC	标准型断路器	6KA	C型	20A	1P	无漏电保护	无漏电保护	无脱扣附件
422	微型断路器	C65N - DC - C 25A/1P	施耐德	C65-DC	标准型断路器	6KA	C型	25A	1P	无漏电保护	无漏电保护	无脱扣附件
423	微型断路器	C65N - DC - C 32A/1P	施耐德	C65-DC	标准型断路器	6KA	C型	32A	1P	无漏电保护	无漏电保护	无脱扣附件
424	微型断路器	C65N - DC - C 40A/1P	施耐德	C65-DC	标准型断路器	6KA	C型	40A	1P	无漏电保护	无漏电保护	无脱扣附件
425	微型断路器	C65N - DC - C 50A/1P	施耐德	C65-DC	标准型断路器	6KA	C型	50A	1P	无漏电保护	无漏电保护	无脱扣附件
426	微型断路器	C65N - DC - C 63A/1P	施耐德	C65-DC	标准型断路器	6KA	C型	63A	1P	无漏电保护	无漏电保护	无脱扣附件
427	微型断路器	C65N - DC - C 1A/2P	施耐德	C65-DC	标准型断路器	6KA	C型	1A	2P	无漏电保护	无漏电保护	无脱扣附件
428	微型断路器	C65N - DC - C 2A/2P	施耐德	C65-DC	标准型断路器	6KA	C型	2A	2P	无漏电保护	无漏电保护	无脱扣附件
429	微型断路器	C65N - DC - C 4A/2P	施耐德	C65-DC	标准型断路器	6KA	C型	4A	2P	无漏电保护	无漏电保护	无脱扣附件
430	微型断路器	C65N - DC - C 6A/2P	施耐德	C65-DC	标准型断路器	6KA	C型	6A	2P	无漏电保护	无漏电保护	无脱扣附件
431	微型断路器	C65N - DC - C 10A/2P	施耐德	C65-DC	标准型断路器	6KA	C型	10A	2P	无漏电保护	无漏电保护	无脱扣附件
432	微型断路器	C65N - DC - C 16A/2P	施耐德	C65-DC	标准型断路器	6KA	C型	16A	2P	无漏电保护	无漏电保护	无脱扣附件
433	微型断路器	C65N - DC - C 20A/2P	施耐德	C65-DC	标准型断路器	6KA	C型	20A	2P	无漏电保护	无漏电保护	无脱扣附件
434	微型断路器	C65N - DC - C 25A/2P	施耐德	C65-DC	标准型断路器	6KA	C型	25A	2P	无漏电保护	无漏电保护	无脱扣附件
435	微型断路器	C65N - DC - C 32A/2P	施耐德	C65-DC	标准型断路器	6KA	C型	32A	2P	无漏电保护	无漏电保护	无脱扣附件
436	微型断路器	C65N - DC - C 40A/2P	施耐德	C65-DC	标准型断路器	6KA	C型	40A	2P	无漏电保护	无漏电保护	无脱扣附件
437	微型断路器	C65N - DC - C 50A/2P	施耐德	C65-DC	标准型断路器	6KA	C型	50A	2P	无漏电保护	无漏电保护	无脱扣附件
438	微型断路器	C65N - DC - C 63A/2P	施耐德	C65-DC	标准型断路器	6KA	C型	63A	2P	无漏电保护	无漏电保护	无脱扣附件
439	微型断路器	C65H - DC - C 1A/1P	施耐德	C65-DC	标准型断路器	10KA	C型	1A	1P	无漏电保护	无漏电保护	无脱扣附件
440	微型断路器	C65H - DC - C 2A/1P	施耐德	C65-DC	标准型断路器	10KA	C型	2A	1P	无漏电保护	无漏电保护	无脱扣附件
441	微型断路器	C65H - DC - C 4A/1P	施耐德	C65-DC	标准型断路器	10KA	C型	4A	1P	无漏电保护	无漏电保护	无脱扣附件
442	微型断路器	C65H - DC - C 6A/1P	施耐德	C65-DC	标准型断路器	10KA	C型	6A	1P	无漏电保护	无漏电保护	无脱扣附件
443	微型断路器	C65H - DC - C 10A/1P	施耐德	C65-DC	标准型断路器	10KA	C型	10A	1P	无漏电保护	无漏电保护	无脱扣附件
444	微型断路器	C65H - DC - C 16A/1P	施耐德	C65-DC	标准型断路器	10KA	C型	16A	1P	无漏电保护	无漏电保护	无脱扣附件
445	微型断路器	C65H - DC - C 20A/1P	施耐德	C65-DC	标准型断路器	10KA	C型	20A	1P	无漏电保护	无漏电保护	无脱扣附件
446	微型断路器	C65H - DC - C 25A/1P	施耐德	C65-DC	标准型断路器	10KA	C型	25A	1P	无漏电保护	无漏电保护	无脱扣附件
447	微型断路器	C65H - DC - C 32A/1P	施耐德	C65-DC	标准型断路器	10KA	C型	32A	1P	无漏电保护	无漏电保护	无脱扣附件
448	微型断路器	C65H - DC - C 40A/1P	施耐德	C65-DC	标准型断路器	10KA	C型	40A	1P	无漏电保护	无漏电保护	无脱扣附件
449	微型断路器	C65H - DC - C 50A/1P	施耐德	C65-DC	标准型断路器	10KA	C型	50A	1P	无漏电保护	无漏电保护	无脱扣附件
450	微型断路器	C65H - DC - C 63A/1P	施耐德	C65-DC	标准型断路器	10KA	C型	63A	1P	无漏电保护	无漏电保护	无脱扣附件
451	微型断路器	C65H - DC - C 1A/2P	施耐德	C65-DC	标准型断路器	10KA	C型	1A	2P	无漏电保护	无漏电保护	无脱扣附件
452	微型断路器	C65H - DC - C 2A/2P	施耐德	C65-DC	标准型断路器	10KA	C型	2A	2P	无漏电保护	无漏电保护	无脱扣附件
453	微型断路器	C65H - DC - C 4A/2P	施耐德	C65-DC	标准型断路器	10KA	C型	4A	2P	无漏电保护	无漏电保护	无脱扣附件
454	微型断路器	C65H - DC - C 6A/2P	施耐德	C65-DC	标准型断路器	10KA	C型	6A	2P	无漏电保护	无漏电保护	无脱扣附件
455	微型断路器	C65H - DC - C 10A/2P	施耐德	C65-DC	标准型断路器	10KA	C型	10A	2P	无漏电保护	无漏电保护	无脱扣附件
456	微型断路器	C65H - DC - C 16A/2P	施耐德	C65-DC	标准型断路器	10KA	C型	16A	2P	无漏电保护	无漏电保护	无脱扣附件
457	微型断路器	C65H - DC - C 20A/2P	施耐德	C65-DC	标准型断路器	10KA	C型	20A	2P	无漏电保护	无漏电保护	无脱扣附件
458	微型断路器	C65H - DC - C 25A/2P	施耐德	C65-DC	标准型断路器	10KA	C型	25A	2P	无漏电保护	无漏电保护	无脱扣附件
459	微型断路器	C65H - DC - C 32A/2P	施耐德	C65-DC	标准型断路器	10KA	C型	32A	2P	无漏电保护	无漏电保护	无脱扣附件
460	微型断路器	C65H - DC - C 40A/2P	施耐德	C65-DC	标准型断路器	10KA	C型	40A	2P	无漏电保护	无漏电保护	无脱扣附件
461	微型断路器	C65H - DC - C 50A/2P	施耐德	C65-DC	标准型断路器	10KA	C型	50A	2P	无漏电保护	无漏电保护	无脱扣附件
462	微型断路器	C65H - DC - C 63A/2P	施耐德	C65-DC	标准型断路器	10KA	C型	63A	2P	无漏电保护	无漏电保护	无脱扣附件
463	微型断路器	C65L - DC - C 1A/1P	施耐德	C65-DC	标准型断路器	20KA	C型	1A	1P	无漏电保护	无漏电保护	无脱扣附件
464	微型断路器	C65L - DC - C 2A/1P	施耐德	C65-DC	标准型断路器	20KA	C型	2A	1P	无漏电保护	无漏电保护	无脱扣附件
465	微型断路器	C65L - DC - C 4A/1P	施耐德	C65-DC	标准型断路器	20KA	C型	4A	1P	无漏电保护	无漏电保护	无脱扣附件
466	微型断路器	C65L - DC - C 6A/1P	施耐德	C65-DC	标准型断路器	20KA	C型	6A	1P	无漏电保护	无漏电保护	无脱扣附件
467	微型断路器	C65L - DC - C 10A/1P	施耐德	C65-DC	标准型断路器	20KA	C型	10A	1P	无漏电保护	无漏电保护	无脱扣附件
468	微型断路器	C65L - DC - C 16A/1P	施耐德	C65-DC	标准型断路器	20KA	C型	16A	1P	无漏电保护	无漏电保护	无脱扣附件
469	微型断路器	C65L - DC - C 20A/1P	施耐德	C65-DC	标准型断路器	20KA	C型	20A	1P	无漏电保护	无漏电保护	无脱扣附件
470	微型断路器	C65L - DC - C 25A/1P	施耐德	C65-DC	标准型断路器	20KA	C型	25A	1P	无漏电保护	无漏电保护	无脱扣附件
471	微型断路器	C65L - DC - C 32A/1P	施耐德	C65-DC	标准型断路器	20KA	C型	32A	1P	无漏电保护	无漏电保护	无脱扣附件
472	微型断路器	C65L - DC - C 40A/1P	施耐德	C65-DC	标准型断路器	20KA	C型	40A	1P	无漏电保护	无漏电保护	无脱扣附件
473	微型断路器	C65L - DC - C 50A/1P	施耐德	C65-DC	标准型断路器	20KA	C型	50A	1P	无漏电保护	无漏电保护	无脱扣附件
474	微型断路器	C65L - DC - C 63A/1P	施耐德	C65-DC	标准型断路器	20KA	C型	63A	1P	无漏电保护	无漏电保护	无脱扣附件
475	微型断路器	C65L - DC - C 1A/2P	施耐德	C65-DC	标准型断路器	20KA	C型	1A	2P	无漏电保护	无漏电保护	无脱扣附件
476	微型断路器	C65L - DC - C 2A/2P	施耐德	C65-DC	标准型断路器	20KA	C型	2A	2P	无漏电保护	无漏电保护	无脱扣附件
477	微型断路器	C65L - DC - C 4A/2P	施耐德	C65-DC	标准型断路器	20KA	C型	4A	2P	无漏电保护	无漏电保护	无脱扣附件
478	微型断路器	C65L - DC - C 6A/2P	施耐德	C65-DC	标准型断路器	20KA	C型	6A	2P	无漏电保护	无漏电保护	无脱扣附件
479	微型断路器	C65L - DC - C 10A/2P	施耐德	C65-DC	标准型断路器	20KA	C型	10A	2P	无漏电保护	无漏电保护	无脱扣附件
480	微型断路器	C65L - DC - C 16A/2P	施耐德	C65-DC	标准型断路器	20KA	C型	16A	2P	无漏电保护	无漏电保护	无脱扣附件
481	微型断路器	C65L - DC - C 20A/2P	施耐德	C65-DC	标准型断路器	20KA	C型	20A	2P	无漏电保护	无漏电保护	无脱扣附件
482	微型断路器	C65L - DC - C 25A/2P	施耐德	C65-DC	标准型断路器	20KA	C型	25A	2P	无漏电保护	无漏电保护	无脱扣附件
483	微型断路器	C65L - DC - C 32A/2P	施耐德	C65-DC	标准型断路器	20KA	C型	32A	2P	无漏电保护	无漏电保护	无脱扣附件
484	微型断路器	C65L - DC - C 40A/2P	施耐德	C65-DC	标准型断路器	20KA	C型	40A	2P	无漏电保护	无漏电保护	无脱扣附件
485	微型断路器	C65L - DC - C 50A/2P	施耐德	C65-DC	标准型断路器	20KA	C型	50A	2P	无漏电保护	无漏电保护	无脱扣附件
486	微型断路器	C65L - DC - C 63A/2P	施耐德	C65-DC	标准型断路器	20KA	C型	63A	2P	无漏电保护	无漏电保护	无脱扣附件
