是否必填			1	1	1	1	1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	应用类别	分断能力	脱扣曲线	额定电流	极数	可配剩余电流动作附件	额定剩余动作电流	可配电气附件
70	微型断路器	iC65 L-B 6A /2P	施耐德	iC65	标准断路器	15KA	B型	6A	2P	无漏电保护	无漏电保护	无脱扣附件
71	微型断路器	iC65 L-B 10A /2P	施耐德	iC65	标准断路器	15KA	B型	10A	2P	无漏电保护	无漏电保护	无脱扣附件
72	微型断路器	iC65 L-B 16A /2P	施耐德	iC65	标准断路器	15KA	B型	16A	2P	无漏电保护	无漏电保护	无脱扣附件
73	微型断路器	iC65 L-B 20A /2P	施耐德	iC65	标准断路器	15KA	B型	20A	2P	无漏电保护	无漏电保护	无脱扣附件
74	微型断路器	iC65 L-B 25A /2P	施耐德	iC65	标准断路器	15KA	B型	25A	2P	无漏电保护	无漏电保护	无脱扣附件
75	微型断路器	iC65 L-B 32A /2P	施耐德	iC65	标准断路器	15KA	B型	32A	2P	无漏电保护	无漏电保护	无脱扣附件
76	微型断路器	iC65 L-B 40A /2P	施耐德	iC65	标准断路器	15KA	B型	40A	2P	无漏电保护	无漏电保护	无脱扣附件
77	微型断路器	iC65 L-B 50A /2P	施耐德	iC65	标准断路器	15KA	B型	50A	2P	无漏电保护	无漏电保护	无脱扣附件
78	微型断路器	iC65 L-B 63A /2P	施耐德	iC65	标准断路器	15KA	B型	63A	2P	无漏电保护	无漏电保护	无脱扣附件
79	微型断路器	iC65 N-B 1A /3P	施耐德	iC65	标准断路器	6KA	B型	1A	3P	无漏电保护	无漏电保护	无脱扣附件
80	微型断路器	iC65 N-B 2A /3P	施耐德	iC65	标准断路器	6KA	B型	2A	3P	无漏电保护	无漏电保护	无脱扣附件
81	微型断路器	iC65 N-B 3A /3P	施耐德	iC65	标准断路器	6KA	B型	3A	3P	无漏电保护	无漏电保护	无脱扣附件
82	微型断路器	iC65 N-B 4A /3P	施耐德	iC65	标准断路器	6KA	B型	4A	3P	无漏电保护	无漏电保护	无脱扣附件
83	微型断路器	iC65 N-B 6A /3P	施耐德	iC65	标准断路器	6KA	B型	6A	3P	无漏电保护	无漏电保护	无脱扣附件
84	微型断路器	iC65 N-B 10A /3P	施耐德	iC65	标准断路器	6KA	B型	10A	3P	无漏电保护	无漏电保护	无脱扣附件
85	微型断路器	iC65 N-B 16A /3P	施耐德	iC65	标准断路器	6KA	B型	16A	3P	无漏电保护	无漏电保护	无脱扣附件
86	微型断路器	iC65 N-B 20A /3P	施耐德	iC65	标准断路器	6KA	B型	20A	3P	无漏电保护	无漏电保护	无脱扣附件
87	微型断路器	iC65 N-B 25A /3P	施耐德	iC65	标准断路器	6KA	B型	25A	3P	无漏电保护	无漏电保护	无脱扣附件
88	微型断路器	iC65 N-B 32A /3P	施耐德	iC65	标准断路器	6KA	B型	32A	3P	无漏电保护	无漏电保护	无脱扣附件
89	微型断路器	iC65 N-B 40A /3P	施耐德	iC65	标准断路器	6KA	B型	40A	3P	无漏电保护	无漏电保护	无脱扣附件
