是否必填			1	1	1	0	0	0	0	0	1	1	0	0
序号	分类名称	供应商型号规格	品牌	产品系列	过程连接	浮球式样	本体管	翻板指示器	外型结构-上端型式	外型结构-下端型式	压力范围	量程	传送器	刻度尺
36	磁翻板液位计	EFA11B1K1-0700XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	700mm	铝合金烤漆外壳	金属
37	磁翻板液位计	EFA11B1K1-0800XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	800mm	铝合金烤漆外壳	金属
38	磁翻板液位计	EFA11B1K1-0900XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	900mm	铝合金烤漆外壳	金属
39	磁翻板液位计	EFA11B1K1-1000XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	1000mm	铝合金烤漆外壳	金属
40	磁翻板液位计	EFA11B1K1-1100XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	1100mm	铝合金烤漆外壳	金属
41	磁翻板液位计	EFA11B1K1-1200XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	1200mm	铝合金烤漆外壳	金属
42	磁翻板液位计	EFA11B1K1-1300XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	1300mm	铝合金烤漆外壳	金属
43	磁翻板液位计	EFA11B1K1-1400XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	1400mm	铝合金烤漆外壳	金属
44	磁翻板液位计	EFA11B1K1-1500XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	1500mm	铝合金烤漆外壳	金属
45	磁翻板液位计	EFA11B1K1-1600XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	1600mm	铝合金烤漆外壳	金属
46	磁翻板液位计	EFA11B1K1-1700XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	1700mm	铝合金烤漆外壳	金属
